slug,display_name,source_filename,map_filename,github_raw_map_url
silverstone_new_gp,Silverstone New GP,Silverstone_New_GPRunsheet.jpg,map.jpg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/silverstone_new_gp/map.jpg
silverstone_old_gp,Silverstone Old GP,Silverstone_Old_GPRunsheet.jpg,map.jpg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/silverstone_old_gp/map.jpg
singapore,Singapore,SingaporeRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/singapore/map.jpeg
snetterton_300,Snetterton 300,Snetterton_300Runsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/snetterton_300/map.jpeg
sochi,Sochi,SochiRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/sochi/map.jpeg
spa,Spa,SpaRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/spa/map.jpeg
thruxton,Thruxton,ThruxtonRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/thruxton/map.jpeg
valencia,Valencia,ValenciaRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/valencia/map.jpeg
vallelunga,Vallelunga,VallelungaRunsheet.png,map.png,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/vallelunga/map.png
zandvoort,Zandvoort,ZandvoortRunsheet.jpeg,map.jpeg,https://raw.githubusercontent.com/Keano860/track-database/main/tracks/zandvoort/map.jpeg
